R##lemma=abba|SubPOS=p|Deg=none## abba	Pd3-sx	abba	az	PRON	PronType=Dem|Person=3|Number=Sing|Case=Ill|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=helyt|SubPOS=p|Deg=none## helyt	Nn-sa	helyt	hely	NOUN	Number=Sing|Case=Acc|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=hozzá|SubPOS=p|Deg=none## hozzá	Pp3-st	hozzá	ő	PRON	PronType=Prs|Person=3|Number=Sing|Case=All|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=hozá|SubPOS=p|Deg=none## hozá	Pp3-st	hozá	ő	PRON	PronType=Prs|Person=3|Number=Sing|Case=All|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=hozzá|SubPOS=p|Deg=none## Hozzá	Pp3-st				
R##lemma=ide|SubPOS=p|Deg=none## ide	Rdp	ide	ide	ADV	PronType=Dem|Degree=Pos
R##lemma=jól|SubPOS=p|Deg=none## jól	Rxp	jól	jól	ADV	PronType=Default|Degree=Pos
R##lemma=jóvá|SubPOS=p|Deg=none## jóvá	Afp-sy	jóvá	jó	ADJ	VerbForm=None|NumType=None|Degree=Pos|Number=Sing|Case=Tra|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=keresztül|SubPOS=p|Deg=none## keresztül	St	keresztül	keresztül	ADP	_
R##lemma=kétségbe|SubPOS=p|Deg=none## kétségbe	Nn-sx	kétségbe	kétség	NOUN	Number=Sing|Case=Ill|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=kétségbe|SubPOS=p|Deg=none## Kétségbe	Nn-sx				
R##lemma=ketté|SubPOS=p|Deg=none## ketté	Mc-syl	ketté	két	NUM	NumType=Card|Number=Sing|Case=Tra|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=kinn|SubPOS=p|Deg=none## kinn	Rxp	kinn	kinn	ADV	PronType=Default|Degree=Pos
R##lemma=ki|SubPOS=p|Deg=none## ki	Rxp	ki	ki	ADV	PronType=Default|Degree=Pos
R##lemma=ki|SubPOS=p|Deg=none## Ki	Rxp				
R##lemma=kölcsön|SubPOS=p|Deg=none## kölcsön	Nn-sn	kölcsön	kölcsön	NOUN	Number=Sing|Case=Nom|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=körbe|SubPOS=p|Deg=none## körbe	Nn-sx	körbe	kör	NOUN	Number=Sing|Case=Ill|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=körül|SubPOS=p|Deg=none## körül	St	körül	körül	ADP	_
R##lemma=közbe|SubPOS=p|Deg=none## közbe	Rx	közbe	közbe	ADV	PronType=Default|Degree=None
R##lemma=közre|SubPOS=p|Deg=none## közre	Nn-ss	közre	köz	NOUN	Number=Sing|Case=Sub|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=közzé|SubPOS=p|Deg=none## közzé	Nn-sy	közzé	köz	NOUN	Number=Sing|Case=Tra|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=külön|SubPOS=p|Deg=none## külön	Rx	külön	külön	ADV	PronType=Default|Degree=None
R##lemma=le|SubPOS=p|Deg=none## le	Rxp	le	le	ADV	PronType=Default|Degree=Pos
R##lemma=le|SubPOS=p|Deg=none## Le	Rxp				
R##lemma=létre|SubPOS=p|Deg=none## létre	Nn-ss	létre	lét	NOUN	Number=Sing|Case=Sub|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=meg|SubPOS=p|Deg=none## meg	Rp	meg	meg	PART	_
R##lemma=meg:net|SubPOS=p|Deg=none## meg:net	Rp	meg:net	meg	PART	_
R##lemma=m?g|SubPOS=p|Deg=none## m?g	Rp	m?g	meg	PART	_
R##lemma=meg|SubPOS=p|Deg=none## Meg	Rp				
R##lemma=mellé|SubPOS=p|Deg=none## mellé	Pp3-sn	mellé	mellé	PRON	PronType=Prs|Person=3|Number=Sing|Case=Nom|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=neki|SubPOS=p|Deg=none## neki	Pp3-sd	neki	ő	PRON	PronType=Prs|Person=3|Number=Sing|Case=Dat|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=nyilván|SubPOS=p|Deg=none## nyilván	Rx	nyilván	nyilván	ADV	PronType=Default|Degree=None
R##lemma=oda|SubPOS=p|Deg=none## oda	Rdp	oda	oda	ADV	PronType=Dem|Degree=Pos
R##lemma=oda|SubPOS=p|Deg=none## Oda	Rdp				
R##lemma=ott|SubPOS=p|Deg=none## ott	Rd	ott	ott	ADV	PronType=Dem|Degree=None
R##lemma=össze|SubPOS=p|Deg=none## össze	Rxp	össze	össze	ADV	PronType=Default|Degree=Pos
R##lemma=ösze|SubPOS=p|Deg=none## ösze	Rxp	ösze	össze	ADV	PronType=Default|Degree=Pos
R##lemma=ossze|SubPOS=p|Deg=none## ossze	Rxp	ossze	össze	ADV	PronType=Default|Degree=Pos
R##lemma=össze|SubPOS=p|Deg=none## Össze	Rxp				
R##lemma=rá|SubPOS=p|Deg=none## rá	Pp3-ss	rá	ő	PRON	PronType=Prs|Person=3|Number=Sing|Case=Sub|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=reá|SubPOS=p|Deg=none## reá	Pp3-ss	reá	ő	PRON	PronType=Prs|Person=3|Number=Sing|Case=Sub|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=ra|SubPOS=p|Deg=none## ra	Pp3-ss	ra	ő	PRON	PronType=Prs|Person=3|Number=Sing|Case=Sub|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=rajta|SubPOS=p|Deg=none## rajta	Pp3-sp	rajta	ő	PRON	PronType=Prs|Person=3|Number=Sing|Case=Sup|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=rá|SubPOS=p|Deg=none## Rá	Pp3-ss				
R##lemma=rendre|SubPOS=p|Deg=none## rendre	Nn-ss	rendre	rend	NOUN	Number=Sing|Case=Sub|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=rosszul|SubPOS=p|Deg=none## rosszul	Afp-sw	rosszul	rossz	ADJ	VerbForm=None|NumType=None|Degree=Pos|Number=Sing|Case=Ess|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=szembe|SubPOS=p|Deg=none## szembe	Rx	szembe	szembe	ADV	PronType=Default|Degree=None
R##lemma=szerte|SubPOS=p|Deg=none## szerte	Rx	szerte	szerte	ADV	PronType=Default|Degree=None
R##lemma=szét|SubPOS=p|Deg=none## szét	Rp	szét	szét	ADV	PronType=Default|Degree=None
R##lemma=szét.|SubPOS=p|Deg=none## szét.	Rp	szét.	szét	ADV	PronType=Default|Degree=None
R##lemma=tele|SubPOS=p|Deg=none## tele	Rx	tele	tele	ADV	PronType=Default|Degree=None
R##lemma=tovább|SubPOS=p|Deg=none## tovább	Rx	tovább	tovább	ADV	PronType=Default|Degree=None
R##lemma=tovább|SubPOS=p|Deg=none## Tovább	Rx				
R##lemma=tönkre|SubPOS=p|Deg=none## tönkre	Nn-ss	tönkre	tönk	NOUN	Number=Sing|Case=Sub|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=túl|SubPOS=p|Deg=none## túl	Rx	túl	túl	ADV	PronType=Default|Degree=None
R##lemma=újra|SubPOS=p|Deg=none## újra	Afp-ss	újra	újra	ADV	PronType=Default|Degree=None
R##lemma=újjá|SubPOS=p|Deg=none## újjá	Afp-sw	újjá	új	ADJ	VerbForm=None|NumType=None|Degree=Pos|Number=Sing|Case=Tra|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=utána|SubPOS=p|Deg=none## utána	Pp3-sn	utána	után	PRON	PronType=Prs|Person=3|Number=Sing|Case=Nom|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=utána|SubPOS=p|Deg=none## Utána	Pp3-sn				
R##lemma=utol|SubPOS=p|Deg=none## utol	Rp	utol	utol	PART	_
R##lemma=végbe|SubPOS=p|Deg=none## végbe	Nn-sx	végbe	vég	NOUN	Number=Sing|Case=Ill|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=véghez|SubPOS=p|Deg=none## véghez	Nn-st	véghez	vég	NOUN	Number=Sing|Case=All|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=véghez|SubPOS=p|Deg=none## Véghez	Nn-st				
R##lemma=végig|SubPOS=p|Deg=none## végig	Rx	végig	végig	ADV	PronType=Default|Degree=None
R##lemma=vegig|SubPOS=p|Deg=none## vegig	Rx	vegig	végig	ADV	PronType=Default|Degree=None
R##lemma=végre|SubPOS=p|Deg=none## végre	Rx	végre	végre	ADV	PronType=Default|Degree=None
R##lemma=vissza|SubPOS=p|Deg=none## vissza	Rxp	vissza	vissza	ADV	PronType=Default|Degree=Pos
R##lemma=vissza|SubPOS=p|Deg=none## Vissza	Rxp				
R##lemma=visza|SubPOS=p|Deg=none## visza	Rxp	visza	vissza	ADV	PronType=Default|Degree=Pos
R##lemma=viszont|SubPOS=p|Deg=none## viszont	Rx	viszont	viszont	ADV	PronType=Default|Degree=None
